No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
,A. Body parts,,,,,,,,,
1,head (1),*krawC,,,,,,lawC1,cawC1,tʰrawC1
2,head (2),*truəA,huəA1,hu1,huəA1,tʰuəA1,hu:A1,,,
3,head hair,*prɤmA,pʰomA1,pʰumA1,pʰjomA1,pʰjomA1,pʰjumA1,pʰomA1,piəmA1,pʰramA1
4,hair knot,*klawC,kla:wC1,,cawC1,cawC1,kjawC1,,,
5,"body hair, feather",*q.pɯlA,kʰonA1,,kʰonA1,kʰonA1,kʰunA1,,punA1,pulA1
6,gray-haired,*ʰŋwu:kD,ŋɔ:kDL1,hoʔDL1,hɔkDL1 -v,,,,,hu:kDL1
7,forehead,*pra:kD,pʰa:kDL1,,pʰja:kDL1,pʰja:kDL1,pʰja:kDL1,pʰakDL1,pja:kDL1,pʰra:kDL1
8,nose,*ɗaŋA,ʔdaŋC1 -t,daŋA1,daŋA1,daŋA1,daŋA1,daŋA1,daŋA1,daŋA1
9,mucus of the nose,*mu:kD,mu:kDL2,muʔDL2,mu:kDL2,,mukDL2,mukDL2,mukDS2,mu:kDL2
10,face,*ʰna:C,na:C1,na:C1,na:C1,na:C1,na:C1,na:C1,naC1,na:C1
11,eye,*p.ta:A,ta:A1,ta:A1,pʰja:A1,tʰa:A1,ha:A1,tʰa:A1,taA1,pra:A1
12,mouth,*pa:kD,pa:kDL1,paʔDL1,pa:kDL1,pa:kDL1,pa:kDL1,pa:kDL1,pa:kDL1,pa:kDL1
13,tongue,*li:nC,linC2,linC2,li:nC2,linC2,linC2,lɤnC2,linC2,li:nC2
14,tooth,*wanA,fanA2,,pʰanA2,vanA2,fanA2,,fanA2,
15,gum; gill,*ʰŋɯəkD,ŋɯəkDL1,hɯʔDL1,hɯəkDL1,hɯəkDL1,hɤ:kDL1,,ŋɯkDS1,
16,saliva,*la:jA,la:jA2,,la:jA2,na:jA2 -i,la:jA2,ma:jA2,na:jA2,mla:jA2
17,cheek,*ke:mC,kɛ:mC1,kemC1,kɛ:mC1,kɛmC1,ke:mC1,,cemC1,ke:mC1
18,ear,*krwɯ:A,hu:A1,suA1,su:A1,suA1,hu:A1,lyA2,rɯəA2 -t,ruəA2 -t
19,fang,*χe:wC,kʰiəwC1,xewC1,kʰɛ:wC1,kʰɛwC1,kʰe:wC1,hewC1,hewC1,
20,"chin, jaw",*ɢa:ŋA,kʰa:ŋA2,ka:ŋA2,ka:ŋA2,g̈a:ŋA2,ka:ŋA2,kʰa:ŋA2 -i,ha:ŋA2,ɣa:ŋA2
21,beard,*momB,,,,mumB2,mumB2,mumB2,mumB2,
