word,meaning,children,parent,related,images,reference
ก,[กอ] พยัญชนะตัวที่ ๑ เรียกว่า กอ ไก่  เป็นอักษรกลาง ใช้เป็นพยัญชนะต้น และเป็นตัวสะกดในมาตรากกหรือแม่กก เช่น กก ปาก สัก.,"ก กา, ก ข, ก ข ไม่กระดิกหู, ก หัน",,,,
ก กา,น. เรียกแม่บทแจกลูกพยัญชนะต้นกับสระโดยไม่มีตัวสะกด ว่า มาตรา ก กา หรือแม่ ก กา.,,ก,,,
ก ข,[กอข้อ]  (โบ) น. พยัญชนะแต่ ก ถึง ฮ.,,ก,,,
ก ข ไม่กระดิกหู,[กอข้อ-]  (โบ)  (สำ) น. ผู้ที่เรียนหนังสือแล้วไม่รู้ อ่านไม่ออกเขียนไม่ได้.,,ก,,,
ก หัน,น. อักษร ก คู่ ในหนังสือโบราณใช้แทนไม้หันอากาศตัวหนึ่ง เป็นตัวสะกดตัวหนึ่ง เช่น จกก = จัก หลกก = หลัก.,,ก,,,
ก็,"สัน. แล้ว, จึง, ย่อม, เช่น พอหันหน้ามาก็พบเขา ทำดีก็ได้ดี.",,,,,
กก ๑,น. เรียกคำหรือพยางค์ที่มีตัว ก ข ค ฆ สะกด ว่า มาตรากกหรือแม่กก.,,,,,
กก ๒,"น. โคน เช่น กกไม้, ต้น เช่น กกขา, ลำต้น เช่น กกเสา.","กกหู, กกเสา",,,,
กก ๓,น. ชื่อไม้ล้มลุกในวงศ์ Cyperaceae เกิดในที่ชื้นแฉะ ชนิดลำต้นกลมใช้ทอหรือสานเสื่อ เรียกว่า กกกลมหรือกกเสื่อ ( **Cyperus corymbosus** Rottb.) ที่ลำต้นเป็นสามเหลี่ยม เช่น กกลังกา ( **C. involucratus** Rottb.) กกสามเหลี่ยม [ **Actinoscirpus grossus** (L. f.) Goetgh. et D.A. Simpson] กกขนากหรือกกกระหนาก ( **C. difformis** L.).,,,,,
กก ๔,"ก. แนบไว้กับอก โดยปรกติเป็นอิริยาบถนอน เช่น กกกอด กกไข่ กกลูก, โดยปริยายหมายความว่า เก็บนิ่งไว้นานเกินควร เช่น เอาเรื่องไปกกไว้.",,,,,
กก ๕,"(ถิ่น-พายัพ) ก. ตัด, บั่น, เช่น กกกิ่ง กกยอด.",,,,,
กก ๖,"น. ซอกด้านในหรือซอกด้านหลังของบานประตูหรือหน้าต่าง, ถ้าเป็นด้านหลังของแผ่นบานประตู เรียกว่า กกประตู, ถ้าเป็นด้านหลังของแผ่นบานหน้าต่าง เรียกว่า กกหน้าต่าง.",,,,,
กก ๗,น. **ดู กาฮัง** .,,,กาฮัง,,
